key,term_en,translation,options,desc_en,desc_vi,chapter,status,notes
promotion,promotion,xúc tiến,xúc tiến,process of communicating value to customers in a way that encourages them to buy,quá trình truyền đạt giá trị đến khách hàng theo cách khuyến khích họ mua,Chương 8,approved,Source: glossary.md — Chương 8
public relations,public relations,quan hệ công chúng,quan hệ công chúng,marketing that focuses on connecting with constituents by developing goodwill,hoạt động marketing tập trung vào việc kết nối với các bên liên quan bằng cách xây dựng thiện chí,Chương 8,approved,Source: glossary.md — Chương 8
qualitative research,qualitative research,nghiên cứu định tính,nghiên cứu định tính,"use of open-ended techniques such as observation, focus groups, and interviews to gain an understanding of customers’ basic reasons, opinions, and motivations","việc sử dụng các phương pháp mở như quan sát, nhóm thảo luận và phỏng vấn nhằm hiểu các lý do, quan điểm và động cơ cơ bản của khách hàng",Chương 8,approved,Source: glossary.md — Chương 8
quantitative research,quantitative research,nghiên cứu định lượng,nghiên cứu định lượng,generation of numerical data through techniques such as surveys and questionnaires,việc tạo ra dữ liệu dạng số thông qua các phương pháp như khảo sát và bảng câu hỏi,Chương 8,approved,Source: glossary.md — Chương 8
real-time marketing,real-time marketing,tiếp thị thời gian thực,tiếp thị thời gian thực,seeks to turn immediately available sales data into actionable and timely strategies that target the shifting landscape of consumer tastes and trends,nhằm chuyển đổi dữ liệu bán hàng có sẵn ngay lập tức thành các chiến lược kịp thời và có thể triển khai nhằm đáp ứng sự thay đổi trong thị hiếu và xu hướng của người tiêu dùng,Chương 8,approved,Source: glossary.md — Chương 8
relationship marketing,relationship marketing,tiếp thị quan hệ,tiếp thị quan hệ,creates customer loyalty through personal interaction and strives for long-term engagement,tạo dựng lòng trung thành của khách hàng thông qua tương tác cá nhân và hướng tới sự gắn kết lâu dài,Chương 8,approved,Source: glossary.md — Chương 8
sales promotion,sales promotion,xúc tiến bán hàng,xúc tiến bán hàng,incentives such as coupons and discounts that help attract customers and help them take action,các hình thức khuyến khích như phiếu giảm giá và chiết khấu giúp thu hút khách hàng và thúc đẩy họ hành động,Chương 8,approved,Source: glossary.md — Chương 8
sales strategy,sales strategy,chiến lược bán hàng,chiến lược bán hàng,"plan that the entrepreneur uses to identify and engage a consumer, from prospecting to securing the sale and beyond","kế hoạch mà doanh nhân sử dụng để xác định và tiếp cận khách hàng, từ việc tìm kiếm khách hàng tiềm năng đến chốt đơn và các hoạt động sau đó",Chương 8,approved,Source: glossary.md — Chương 8
sample,sample,mẫu khảo sát,mẫu khảo sát,group of people participating in market research,nhóm người tham gia vào nghiên cứu thị trường,Chương 8,approved,Source: glossary.md — Chương 8
segmenting,segmenting,phân khúc thị trường,phân khúc thị trường,"separating the total population by homogeneous groups of people that have similar tastes, backgrounds, lifestyles, demographics, and culture","việc chia tổng thể dân số thành các nhóm đồng nhất có sở thích, nền tảng, lối sống, đặc điểm nhân khẩu học và văn hóa tương tự",Chương 8,approved,Source: glossary.md — Chương 8
serviceable available market (sam),serviceable available market (SAM),thị trường có thể phục vụ (serviceable available market SAM),thị trường có thể phục vụ (serviceable available market SAM),"portion of the market that a business can serve based on its products, services, and location","phần thị trường mà doanh nghiệp có thể phục vụ dựa trên sản phẩm, dịch vụ và vị trí của mình","Chương 8, Chương 11",approved,"Source: glossary.md — Chương 8, Chương 11"
situation analysis,situation analysis,phân tích bối cảnh,phân tích bối cảnh,examination of the internal and external circumstances relevant to a particular business,việc xem xét các yếu tố nội bộ và bên ngoài liên quan đến một doanh nghiệp cụ thể,Chương 8,approved,Source: glossary.md — Chương 8
skimming,skimming,định giá hớt váng,định giá hớt váng,high-pricing strategy that leverages the newness of a product in order to “skim” the most profits off the top at the beginning of a sale,chiến lược định giá cao tận dụng tính mới của sản phẩm nhằm thu được lợi nhuận tối đa ngay từ giai đoạn đầu của việc bán,Chương 8,approved,Source: glossary.md — Chương 8
social media,social media,mạng xã hội,mạng xã hội,"online communication tool for entrepreneurs to connect with consumers, especially younger demographics","công cụ giao tiếp trực tuyến giúp doanh nhân kết nối với người tiêu dùng, đặc biệt là các nhóm khách hàng trẻ",Chương 8,approved,Source: glossary.md — Chương 8
tagline,tagline,khẩu hiệu thương hiệu,khẩu hiệu thương hiệu,short and catchy positioning statement that quickly communicate some core aspect of the brand to the consumer,"câu khẩu hiệu ngắn gọn, dễ nhớ giúp nhanh chóng truyền tải một khía cạnh cốt lõi của thương hiệu tới người tiêu dùng",Chương 8,approved,Source: glossary.md — Chương 8
targeting,targeting,xác định thị trường mục tiêu,xác định thị trường mục tiêu,selecting a customer group based on their ability and willingness to buy,việc lựa chọn một nhóm khách hàng dựa trên khả năng và mức độ sẵn sàng mua của họ,Chương 8,approved,Source: glossary.md — Chương 8
total available market (tam),total available market (TAM),tổng thị trường khả dụng (total available market TAM),tổng thị trường khả dụng (total available market TAM),total perceived demand for a product or service within the marketplace,tổng nhu cầu được nhận thức đối với một sản phẩm hoặc dịch vụ trong thị trường,"Chương 8, Chương 11",approved,"Source: glossary.md — Chương 8, Chương 11"
validation,validation,kiểm chứng,kiểm chứng,act of verifying that a product can be successful with a target audience,hành động xác minh rằng một sản phẩm có thể thành công với một nhóm khách hàng mục tiêu,Chương 8,approved,Source: glossary.md — Chương 8
viral marketing,viral marketing,tiếp thị lan truyền,tiếp thị lan truyền,marketing that uses engaging content in the hopes that viewers will share it on their personal and social media networks,hình thức marketing sử dụng nội dung hấp dẫn với kỳ vọng người xem sẽ chia sẻ nó trên các mạng cá nhân và mạng xã hội,Chương 8,approved,Source: glossary.md — Chương 8
word-of-mouth (wom) marketing,word-of-mouth (WOM) marketing,tiếp thị truyền miệng (word-of-mouth WOM marketing),tiếp thị truyền miệng (word-of-mouth WOM marketing),promotion in which a satisfied customer tells others about their positive experience with a good or service,hình thức quảng bá trong đó một khách hàng hài lòng chia sẻ với người khác về trải nghiệm tích cực của họ đối với một sản phẩm hoặc dịch vụ,Chương 8,approved,Source: glossary.md — Chương 8
customer acquisition,customer acquisition,thu hút khách hàng,thu hút khách hàng,process of attracting and converting prospects into paying customers,quá trình thu hút và chuyển đổi khách hàng tiềm năng thành khách hàng trả tiền,Chương 8 (bổ sung),approved,Source: glossary.md — Chương 8 (bổ sung)
customer retention,customer retention,giữ chân khách hàng,giữ chân khách hàng,ability of a business to retain customers over time and encourage repeat purchases,khả năng của doanh nghiệp trong việc duy trì khách hàng hiện tại và khuyến khích họ tiếp tục mua hàng,Chương 8 (bổ sung),approved,Source: glossary.md — Chương 8 (bổ sung)
market segmentation strategy,market segmentation strategy,chiến lược phân khúc thị trường,chiến lược phân khúc thị trường,"strategic approach to dividing a market into distinct groups of customers with similar needs, characteristics, or behaviors","chiến lược phân chia thị trường thành các nhóm khách hàng riêng biệt có nhu cầu, đặc điểm hoặc hành vi tương đồng",Chương 8 (bổ sung),approved,Source: glossary.md — Chương 8 (bổ sung)
sales funnel,sales funnel,phễu bán hàng,phễu bán hàng,model that represents the stages a customer goes through from awareness to purchase (and sometimes beyond),"mô hình thể hiện các giai đoạn khách hàng trải qua từ nhận biết, cân nhắc đến mua hàng (và có thể cả sau mua)",Chương 8 (bổ sung),approved,Source: glossary.md — Chương 8 (bổ sung)
accounting,accounting,kế toán,kế toán,system of recording and classifying a company’s financial transactions and summarizing and communicating those transactions in the form of financial statements,"hệ thống ghi chép và phân loại các giao dịch tài chính của một công ty, đồng thời tóm tắt và truyền đạt các giao dịch đó dưới dạng các báo cáo tài chính",Chương 9,approved,Source: glossary.md — Chương 9
accounting equation,accounting equation,phương trình kế toán,phương trình kế toán,assets liabilities \+ equity,tài sản nợ phải trả \+ vốn chủ sở hữu,Chương 9,approved,Source: glossary.md — Chương 9
accounts payable,accounts payable,các khoản phải trả,các khoản phải trả,account that includes vendors that the company owes money to,tài khoản bao gồm các nhà cung cấp mà công ty đang nợ tiền,Chương 9,approved,Source: glossary.md — Chương 9
accounts receivable,accounts receivable,các khoản phải thu,các khoản phải thu,account that includes customers that owe the business money,tài khoản bao gồm các khách hàng đang nợ tiền doanh nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
angel investor,angel investor,nhà đầu tư thiên thần,nhà đầu tư thiên thần,"wealthy, private individual seeking investment options with a greater potential return than is generally available with traditional publicly traded stocks","cá nhân giàu có, đầu tư tư nhân, tìm kiếm các cơ hội đầu tư có khả năng sinh lợi cao hơn so với các cổ phiếu giao dịch công khai truyền thống",Chương 9,approved,Source: glossary.md — Chương 9
assets,assets,tài sản,tài sản,items a business owns and derives future use from,những tài sản mà doanh nghiệp sở hữu và mang lại lợi ích trong tương lai,Chương 9,approved,Source: glossary.md — Chương 9
balance sheet,balance sheet,bảng cân đối kế toán,bảng cân đối kế toán,financial statement that summarizes a company’s financial condition according to the accounting equation,báo cáo tài chính tóm tắt tình hình tài chính của công ty theo phương trình kế toán,Chương 9,approved,Source: glossary.md — Chương 9
bartering,bartering,trao đổi hàng hóa (barter),trao đổi hàng hóa (barter),exchanging goods or services for other goods or services instead of for cash,việc trao đổi hàng hóa hoặc dịch vụ lấy hàng hóa hoặc dịch vụ khác thay vì tiền mặt,Chương 9,approved,Source: glossary.md — Chương 9
burn rate,burn rate,tốc độ đốt tiền,tốc độ đốt tiền,rate at which cash outflow exceeds cash inflow,tốc độ mà dòng tiền chi ra vượt quá dòng tiền thu vào,"Chương 9, Chương 15",approved,"Source: glossary.md — Chương 9, Chương 15"
charitable organization,charitable organization,tổ chức từ thiện,tổ chức từ thiện,nonprofit company founded for altruistic purposes,tổ chức phi lợi nhuận được thành lập vì các mục đích vị tha,Chương 9,approved,Source: glossary.md — Chương 9
collateral,collateral,tài sản thế chấp,tài sản thế chấp,something of value pledged to secure a loan,tài sản có giá trị được dùng để đảm bảo cho một khoản vay,Chương 9,approved,Source: glossary.md — Chương 9
contribution margin,contribution margin,biên lãi,biên lãi,gross profit from a single item sold,lợi nhuận gộp từ một đơn vị sản phẩm được bán,Chương 9,approved,Source: glossary.md — Chương 9
cost of goods sold,cost of goods sold,giá vốn hàng bán,giá vốn hàng bán,cost required to produce the product or service,chi phí cần thiết để sản xuất sản phẩm hoặc dịch vụ,Chương 9,approved,Source: glossary.md — Chương 9
credit,credit,tín dụng,tín dụng,lending of funds in exchange for a promise to repay,việc cho vay tiền để đổi lấy cam kết hoàn trả,Chương 9,approved,Source: glossary.md — Chương 9
crowdfunding,crowdfunding,gọi vốn cộng đồng,gọi vốn cộng đồng,financing with investments of small amounts of money from a large number of people,hình thức huy động vốn bằng các khoản đầu tư nhỏ từ một số lượng lớn người,Chương 9,approved,Source: glossary.md — Chương 9
debt financing,debt financing,tài trợ bằng vốn vay,tài trợ bằng vốn vay,"borrowing funds that must be repaid, usually with interest","việc vay vốn phải hoàn trả, thường kèm theo lãi suất",Chương 9,approved,Source: glossary.md — Chương 9
donation,donation,khoản quyên góp,khoản quyên góp,financial gift intended to support an organization’s general operations,khoản tiền được tặng nhằm hỗ trợ hoạt động chung của một tổ chức,Chương 9,approved,Source: glossary.md — Chương 9
early stage,early stage,giai đoạn khởi đầu,giai đoạn khởi đầu,company lifecycle stage in which the product or service has begun development,giai đoạn trong vòng đời doanh nghiệp khi sản phẩm hoặc dịch vụ đã bắt đầu được phát triển,Chương 9,approved,Source: glossary.md — Chương 9
equity,equity,vốn chủ sở hữu,vốn chủ sở hữu,owner’s interest in the assets of the business,phần lợi ích của chủ sở hữu đối với tài sản của doanh nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
equity financing,equity financing,tài trợ bằng vốn chủ sở hữu,tài trợ bằng vốn chủ sở hữu,funds provided in exchange for a share of ownership in a business,nguồn vốn được cung cấp để đổi lấy một phần quyền sở hữu trong doanh nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
expenses,expenses,chi phí,chi phí,costs incurred in the normal course of business operations,các chi phí phát sinh trong quá trình hoạt động kinh doanh bình thường,Chương 9,approved,Source: glossary.md — Chương 9
financial statement,financial statement,báo cáo tài chính,báo cáo tài chính,output of an accounting system that is used to make financial decisions,sản phẩm đầu ra của hệ thống kế toán được sử dụng để đưa ra các quyết định tài chính,Chương 9,approved,Source: glossary.md — Chương 9
financing,financing,huy động vốn,huy động vốn,raising money to fund the startup and operation of a business,việc huy động tiền để tài trợ cho việc khởi nghiệp và vận hành doanh nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
financing activities,financing activities,hoạt động tài trợ,hoạt động tài trợ,section of the statement of cash flows that shows where new infusions of cash are coming from,phần trong báo cáo lưu chuyển tiền tệ thể hiện nguồn tiền mới được đưa vào,Chương 9,approved,Source: glossary.md — Chương 9
fixed assets,fixed assets,tài sản cố định,tài sản cố định,"major purchases with a long life, such as buildings, land, and so on","các tài sản lớn có thời gian sử dụng dài như nhà cửa, đất đai, v.v.",Chương 9,approved,Source: glossary.md — Chương 9
fixed costs,fixed costs,chi phí cố định,chi phí cố định,"costs that do not change, regardless of the amount of sales",các chi phí không thay đổi bất kể mức doanh số,"Chương 9, chương 11",approved,"Source: glossary.md — Chương 9, chương 11"
funds,funds,nguồn vốn,nguồn vốn,financial resources for acquiring assets,các nguồn lực tài chính dùng để mua sắm tài sản,Chương 9,approved,Source: glossary.md — Chương 9
grant,grant,khoản tài trợ,khoản tài trợ,financial gift intended to fund a specific goal or project,khoản tiền được cấp nhằm tài trợ cho một mục tiêu hoặc dự án cụ thể,Chương 9,approved,Source: glossary.md — Chương 9
gross profit,gross profit,lợi nhuận gộp,lợi nhuận gộp,selling price of a product or service minus its direct costs,giá bán của sản phẩm hoặc dịch vụ trừ đi các chi phí trực tiếp,Chương 9,approved,Source: glossary.md — Chương 9
income (profit-and-loss) statement,income (profit-and-loss) statement,báo cáo kết quả kinh doanh,báo cáo kết quả kinh doanh,financial statement that describes how much a company earned while the business was operating and what costs were incurred to generate those revenues,báo cáo tài chính mô tả doanh nghiệp đã kiếm được bao nhiêu trong quá trình hoạt động và các chi phí đã phát sinh để tạo ra doanh thu đó,Chương 9,approved,Source: glossary.md — Chương 9
initial public offering (ipo),initial public offering (IPO),phát hành cổ phiếu lần đầu ra công chúng (initial public offering IPO),phát hành cổ phiếu lần đầu ra công chúng (initial public offering IPO),process by which a company lists its ownership shares on a public stock exchange,quá trình mà một công ty niêm yết cổ phần của mình trên thị trường chứng khoán công khai,Chương 9,approved,Source: glossary.md — Chương 9
investing activities,investing activities,hoạt động đầu tư,hoạt động đầu tư,section of the statement of cash flows that shows major purchases of equipment or facilities,phần trong báo cáo lưu chuyển tiền tệ thể hiện các khoản mua sắm lớn về thiết bị hoặc cơ sở vật chất,Chương 9,approved,Source: glossary.md — Chương 9
liability,liability,nợ phải trả,nợ phải trả,company’s debt to another party,khoản nợ của công ty đối với một bên khác,Chương 9,approved,Source: glossary.md — Chương 9
mature stage,mature stage,giai đoạn trưởng thành,giai đoạn trưởng thành,company lifecycle stage in which the business has reached commercial viability,giai đoạn trong vòng đời doanh nghiệp khi doanh nghiệp đã đạt được tính khả thi thương mại,Chương 9,approved,Source: glossary.md — Chương 9
moonlighting,moonlighting,làm thêm ngoài giờ,làm thêm ngoài giờ,earning income from a source outside of one’s primary employment,việc kiếm thu nhập từ một nguồn ngoài công việc chính,Chương 9,approved,Source: glossary.md — Chương 9
net income,net income,lợi nhuận ròng,lợi nhuận ròng,revenue minus expenses,doanh thu trừ chi phí,Chương 9,approved,Source: glossary.md — Chương 9
operating activities,operating activities,hoạt động vận hành,hoạt động vận hành,"section of the statement of cash flows that shows day-to-day activities of the business, such as purchasing supplies, paying rent, and receiving cash from customers","phần trong báo cáo lưu chuyển tiền tệ thể hiện các hoạt động hàng ngày của doanh nghiệp như mua vật tư, trả tiền thuê và thu tiền từ khách hàng",Chương 9,approved,Source: glossary.md — Chương 9
program services,program services,dịch vụ có thu phí,dịch vụ có thu phí,basic offerings that a nonprofit provides to generate a portion of its revenue to sustain operations,các dịch vụ cơ bản mà tổ chức phi lợi nhuận cung cấp để tạo ra một phần doanh thu nhằm duy trì hoạt động,Chương 9,approved,Source: glossary.md — Chương 9
projection,projection,dự báo tài chính,dự báo tài chính,forecast of the future operations of a business,dự báo về hoạt động trong tương lai của doanh nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
revenue,revenue,doanh thu,doanh thu,amount a business earns through product sales or providing a service,số tiền mà doanh nghiệp kiếm được thông qua việc bán sản phẩm hoặc cung cấp dịch vụ,Chương 9,approved,Source: glossary.md — Chương 9
run rate,run rate,chỉ số tài chính ngoại suy,chỉ số tài chính ngoại suy,cost of running a business over a specified period of time,chi phí để vận hành doanh nghiệp trong một khoảng thời gian xác định,Chương 9,approved,Source: glossary.md — Chương 9
seed stage,seed stage,giai đoạn hạt giống,giai đoạn hạt giống,company lifecycle stage in which the business is largely still an idea,giai đoạn trong vòng đời doanh nghiệp khi doanh nghiệp chủ yếu vẫn còn ở dạng ý tưởng,Chương 9,approved,Source: glossary.md — Chương 9
statement of cash flows,statement of cash flows,báo cáo lưu chuyển tiền tệ,báo cáo lưu chuyển tiền tệ,financial statement that explains the sources and uses of the company’s cash,báo cáo tài chính giải thích các nguồn và việc sử dụng tiền của công ty,Chương 9,approved,Source: glossary.md — Chương 9
sustainable strategy,sustainable strategy,chiến lược bền vững,chiến lược bền vững,strategy that can maintain an organization’s financial stability,chiến lược có thể duy trì sự ổn định tài chính của tổ chức,Chương 9,approved,Source: glossary.md — Chương 9
tax-exempt status,tax-exempt status,tình trạng miễn thuế,tình trạng miễn thuế,treatment under U.S. tax law that removes the burden of taxes from nonprofit organizations,chế độ theo luật thuế Hoa Kỳ giúp miễn nghĩa vụ thuế cho các tổ chức phi lợi nhuận,Chương 9,approved,Source: glossary.md — Chương 9
valuation,valuation,định giá,định giá,estimate of a company’s worth,ước tính giá trị của một công ty,Chương 9,approved,Source: glossary.md — Chương 9
variable costs,variable costs,chi phí biến đổi,chi phí biến đổi,costs that fluctuate with the level of revenue,các chi phí biến động theo mức doanh thu,"Chương 9, Chương 11",approved,"Source: glossary.md — Chương 9, Chương 11"
venture capitalist,venture capitalist,nhà đầu tư mạo hiểm,nhà đầu tư mạo hiểm,individual or investment firm that specializes in funding startup companies,cá nhân hoặc công ty đầu tư chuyên tài trợ cho các doanh nghiệp khởi nghiệp,Chương 9,approved,Source: glossary.md — Chương 9
working capital,working capital,vốn lưu động,vốn lưu động,funds available for day-to-day operations,nguồn vốn sẵn có để phục vụ hoạt động hàng ngày,Chương 9,approved,Source: glossary.md — Chương 9
financial sustainability,financial sustainability,tính bền vững tài chính,tính bền vững tài chính,the ability of an organization to maintain its financial health and continue operations over the long term without relying on unsustainable external support,khả năng của một tổ chức trong việc duy trì tình trạng tài chính lành mạnh và tiếp tục hoạt động trong dài hạn mà không phụ thuộc vào các nguồn hỗ trợ không bền vững,Chương 9 (bổ sung),approved,Source: glossary.md — Chương 9 (bổ sung)
cost structure,cost structure,cơ cấu chi phí,cơ cấu chi phí,the composition and relative proportion of different types of costs (fixed and variable) incurred by a business,cơ cấu và tỷ trọng của các loại chi phí khác nhau (cố định và biến đổi) mà doanh nghiệp phải chịu,Chương 9 (bổ sung),approved,Source: glossary.md — Chương 9 (bổ sung)
financial forecasting,financial forecasting,dự báo tài chính,dự báo tài chính,"process of estimating future financial outcomes based on historical data, assumptions, and market trends","quá trình ước tính các kết quả tài chính trong tương lai dựa trên dữ liệu lịch sử, các giả định và xu hướng thị trường",Chương 9 (bổ sung),approved,Source: glossary.md — Chương 9 (bổ sung)
born global,born global,khởi nghiệp định hướng quốc tế/toàn cầu,khởi nghiệp định hướng quốc tế/toàn cầu,venture seeking to be a global company from its inception,một doanh nghiệp hướng tới trở thành công ty toàn cầu ngay từ khi được hình thành,Chương 10,approved,Source: glossary.md — Chương 10
build-measure-learn loop,build-measure-learn loop,vòng lặp xây dựng – đo lường – học hỏi,vòng lặp xây dựng – đo lường – học hỏi,"step-by-step approach on how to maneuver a startup, how to change course if necessary, how to persevere, and how to accelerate the expansion of a business","cách tiếp cận từng bước về cách vận hành một startup, cách thay đổi hướng đi khi cần thiết, cách kiên trì, và cách thúc đẩy việc mở rộng của một doanh nghiệp",Chương 10,approved,Source: glossary.md — Chương 10
business failure,business failure,thất bại kinh doanh,thất bại kinh doanh,"ending a business due to the lack of goal attainment, which can include low levels of revenue and profit, or not meeting investors’ expectations","việc chấm dứt một doanh nghiệp do không đạt được các mục tiêu đã đề ra, có thể bao gồm mức doanh thu và lợi nhuận thấp hoặc không đáp ứng được kỳ vọng của nhà đầu tư",Chương 10,approved,Source: glossary.md — Chương 10
business lifecycle,business lifecycle,vòng đời doanh nghiệp,vòng đời doanh nghiệp,"stages companies go through: birth, growth (or expansion to new markets and products), maturity, decline, death or rebirth","các giai đoạn mà doanh nghiệp trải qua: hình thành, tăng trưởng (hoặc mở rộng sang thị trường và sản phẩm mới), trưởng thành, suy thoái, kết thúc hoặc tái sinh",Chương 10,approved,Source: glossary.md — Chương 10
early adopters,early adopters,người chấp nhận sớm,người chấp nhận sớm,people who like to try new things and can be found at the onset of the adoption process for a product,những người thích thử những điều mới và có thể được tìm thấy ở giai đoạn đầu của quá trình chấp nhận một sản phẩm,Chương 10,approved,Source: glossary.md — Chương 10
global entrepreneurship monitor (gem),Global Entrepreneurship Monitor (GEM),báo cáo nghiên cứu Khởi nghiệp Toàn cầu (Global Entrepreneurship Monito GEM),báo cáo nghiên cứu Khởi nghiệp Toàn cầu (Global Entrepreneurship Monito GEM),organization that researches entrepreneurship around the world,một tổ chức nghiên cứu về hoạt động khởi nghiệp trên toàn thế giới,Chương 10,approved,Source: glossary.md — Chương 10
innovation accounting,innovation accounting,kế toán đổi mới,kế toán đổi mới,assesses whether the changes made to the product are creating the desired results,việc đánh giá liệu những thay đổi được thực hiện đối với sản phẩm có tạo ra các kết quả mong muốn hay không,Chương 10,approved,Source: glossary.md — Chương 10
iterations,iterations,các lần lặp cải tiến,các lần lặp cải tiến,small changes to the current version of a product to make it better fit consumer needs,những thay đổi nhỏ đối với phiên bản hiện tại của sản phẩm nhằm làm cho sản phẩm phù hợp hơn với nhu cầu của người tiêu dùng,Chương 10,approved,Source: glossary.md — Chương 10
joint venture,joint venture,liên doanh,liên doanh,temporary partnership in which two different enterprises combine for the purpose of mutual benefits such as sharing of expenses and to work toward shared goals and the associated potential revenue,một quan hệ hợp tác tạm thời trong đó hai doanh nghiệp khác nhau kết hợp với nhau nhằm đạt được lợi ích chung như chia sẻ chi phí và cùng hướng tới các mục tiêu chung cũng như doanh thu tiềm năng liên quan,"Chương 10, Chương 13",approved,"Source: glossary.md — Chương 10, Chương 13"
lean pitch,lean pitch,bài thuyết trình tinh gọn,bài thuyết trình tinh gọn,verbal delivery of an idea or business plan as a request to a group of investors by an entrepreneur,việc trình bày bằng lời một ý tưởng hoặc kế hoạch kinh doanh như một đề nghị gửi tới một nhóm nhà đầu tư bởi một doanh nhân,Chương 10,approved,Source: glossary.md — Chương 10
lean plan,lean plan,kế hoạch kinh doanh tinh gọn,kế hoạch kinh doanh tinh gọn,"brief business plan shown to potential investors and employees that is a fast and effective way to set, manage, and evaluate goals and strategies in a business","một kế hoạch kinh doanh ngắn gọn được trình bày cho các nhà đầu tư và nhân viên tiềm năng, là một cách nhanh chóng và hiệu quả để thiết lập, quản lý và đánh giá các mục tiêu và chiến lược trong doanh nghiệp",Chương 10,approved,Source: glossary.md — Chương 10
lean startup,lean startup,khởi nghiệp tinh gọn,khởi nghiệp tinh gọn,methodology entrepreneurs use this method to help them innovate by continuously testing their products and getting feedback from customers in real time,một phương pháp luận mà doanh nhân sử dụng nhằm giúp họ đổi mới bằng cách liên tục thử nghiệm sản phẩm của mình và nhận phản hồi từ khách hàng theo thời gian thực,Chương 10,approved,Source: glossary.md — Chương 10
licensing,licensing,cấp phép,cấp phép,contract in which one enterprise gives permission to another entity to manufacture and sell its products for a royalty,một hợp đồng trong đó một doanh nghiệp cho phép một thực thể khác sản xuất và bán sản phẩm của mình để đổi lấy tiền bản quyền,Chương 10,approved,Source: glossary.md — Chương 10
mergers and acquisitions,mergers and acquisitions,sáp nhập và mua lại,sáp nhập và mua lại,"when two companies combine, or one buys the majority stake of the other","khi hai công ty hợp nhất với nhau, hoặc một công ty mua phần lớn cổ phần của công ty kia",Chương 10,approved,Source: glossary.md — Chương 10
pivoting,pivoting,chuyển hướng chiến lược,chuyển hướng chiến lược,"crucial change done to test a hypothesis regarding the basic product, its growth potential, and business model; if something is not working, then a change or a “pivot” needs to take place","một sự thay đổi quan trọng được thực hiện nhằm kiểm định một giả thuyết liên quan đến sản phẩm cốt lõi, tiềm năng tăng trưởng và mô hình kinh doanh; nếu một điều gì đó không hiệu quả, thì cần phải thực hiện một sự thay đổi hay “pivot”",Chương 10,approved,Source: glossary.md — Chương 10
strategic alliance,strategic alliance,liên minh chiến lược,liên minh chiến lược,"arrangement created by two entities to work on a project by sharing some of their strengths and resources, but not actually creating a new entity as in the case of a joint venture","một sự sắp xếp được tạo ra bởi hai thực thể để cùng làm việc trong một dự án bằng cách chia sẻ một phần thế mạnh và nguồn lực của họ, nhưng không thực sự tạo ra một pháp nhân mới như trong trường hợp của liên doanh",Chương 10,approved,Source: glossary.md — Chương 10
growth strategy,growth strategy,chiến lược tăng trưởng,chiến lược tăng trưởng,"plan outlining how a business intends to expand its market share, revenue, or scale of operations","kế hoạch xác định cách doanh nghiệp mở rộng thị phần, doanh thu hoặc quy mô hoạt động",Chương 10 (bổ sung),approved,Source: glossary.md — Chương 10 (bổ sung)
market expansion,market expansion,mở rộng thị trường,mở rộng thị trường,strategy of entering new markets or reaching new customer segments,chiến lược thâm nhập thị trường mới hoặc tiếp cận các phân khúc khách hàng mới,Chương 10 (bổ sung),approved,Source: glossary.md — Chương 10 (bổ sung)
operational scaling,operational scaling,mở rộng quy mô vận hành,mở rộng quy mô vận hành,process of increasing a company’s operational capacity to handle growth efficiently,quá trình mở rộng năng lực vận hành của doanh nghiệp nhằm đáp ứng tăng trưởng một cách hiệu quả,Chương 10 (bổ sung),approved,Source: glossary.md — Chương 10 (bổ sung)
performance metrics,performance metrics,chỉ số hiệu suất,chỉ số hiệu suất,"quantifiable measures used to evaluate the success or performance of a business, product, or process","các chỉ số định lượng được sử dụng để đánh giá mức độ hiệu quả hoặc hiệu suất của doanh nghiệp, sản phẩm hoặc quy trình",Chương 10 (bổ sung),approved,Source: glossary.md — Chương 10 (bổ sung)
business model canvas,business model canvas,mô hình kinh doanh canvas,mô hình kinh doanh canvas,"developed by Osterwalder and Pigneur, used to develop a business model for a venture, including nine blocks that are mapped out to address customer segments, customer relationships, channels, revenue streams, value propositions, key partners, key activities, key resources, and cost structure","được phát triển bởi Osterwalder và Pigneur, được sử dụng để xây dựng mô hình kinh doanh cho một doanh nghiệp, bao gồm chín thành phần được bố trí nhằm xử lý các phân khúc khách hàng, mối quan hệ khách hàng, kênh phân phối, dòng doanh thu, giá trị đề xuất, đối tác chính, hoạt động chính, nguồn lực chính và cấu trúc chi phí",Chương 11,approved,Source: glossary.md — Chương 11
business model innovation,business model innovation,đổi mới mô hình kinh doanh,đổi mới mô hình kinh doanh,occurs when an existing business fundamentally changes their business model,xảy ra khi một doanh nghiệp hiện có thay đổi một cách căn bản mô hình kinh doanh của mình,Chương 11,approved,Source: glossary.md — Chương 11
business plan,business plan,kế hoạch kinh doanh,kế hoạch kinh doanh,"formal document that typically describes the business and industry, market strategies, sales potential, and competitive analysis, as well as the company’s long-term goals and objectives","tài liệu chính thức thường mô tả doanh nghiệp và ngành, các chiến lược thị trường, tiềm năng bán hàng và phân tích cạnh tranh, cũng như các mục tiêu và mục tiêu dài hạn của công ty",Chương 11,approved,Source: glossary.md — Chương 11
